line_id,variant_id,seq,city_id
NSK-GALT,1,4,Горно-Алтайск

KRS-KYZ,1,1,Красноярск
KRS-KYZ,1,2,Абакан
KRS-KYZ,1,3,Кызыл

KAL,1,1,Москва
KAL,1,2,Санкт-Петербург
KAL,1,3,Усть-Луга
KAL,1,4,Калининград

ORSK,1,1,Тольятти
ORSK,1,2,Оренбург
ORSK,1,3,Орск

EKB-MSK-IZH,1,1,Екатеринбург
EKB-MSK-IZH,1,2,Пермь
EKB-MSK-IZH,1,3,Ижевск
EKB-MSK-IZH,1,4,Набережные Челны
EKB-MSK-IZH,1,5,Казань
EKB-MSK-IZH,1,6,Чебоксары
EKB-MSK-IZH,1,7,Нижний Новгород
EKB-MSK-IZH,1,8,Владимир
EKB-MSK-IZH,1,9,Москва
EKB-MSK-NCH,1,1,Екатеринбург
EKB-MSK-NCH,1,2,Набережные Челны
EKB-MSK-NCH,1,3,Казань
EKB-MSK-NCH,1,4,Чебоксары
EKB-MSK-NCH,1,5,Нижний Новгород
EKB-MSK-NCH,1,6,Владимир
EKB-MSK-NCH,1,7,Москва
MSK-CRM-MEL,1,1,Москва
MSK-CRM-MEL,1,2,Елец
MSK-CRM-MEL,1,3,Воронеж
MSK-CRM-MEL,1,4,Каменск-Шахтинский
MSK-CRM-MEL,1,5,Ростов-на-Дону
MSK-CRM-MEL,1,6,Мариуполь
MSK-CRM-MEL,1,7,Мелитополь
MSK-CRM-MEL,1,8,Симферополь
MSK-CRM-MEL,1,9,Севастополь
MSK-CRM-KRC,1,1,Москва
MSK-CRM-KRC,1,2,Елец
MSK-CRM-KRC,1,3,Воронеж
MSK-CRM-KRC,1,4,Каменск-Шахтинский
MSK-CRM-KRC,1,5,Ростов-на-Дону
MSK-CRM-KRC,1,6,Краснодар
MSK-CRM-KRC,1,7,Керчь
MSK-CRM-KRC,1,8,Симферополь
MSK-CRM-KRC,1,9,Севастополь

VVO-KRSNDR-1,1,1,Владивосток
VVO-KRSNDR-1,1,2,Уссурийск
VVO-KRSNDR-1,1,3,Хабаровск
VVO-KRSNDR-1,1,4,Биробиджан
VVO-KRSNDR-1,1,5,Благовещенск
VVO-KRSNDR-1,1,6,Свободный
VVO-KRSNDR-1,1,7,Сковородино
VVO-KRSNDR-1,1,8,Чита
VVO-KRSNDR-1,1,9,Улан-Удэ
VVO-KRSNDR-1,1,10,Иркутск
VVO-KRSNDR-1,1,11,Тулун
VVO-KRSNDR-1,1,12,Красноярск
